filename,abs_angle,augmented,actual_words,detected_words,error
page6_angle_-40_aug3.jpg,40,Yes,126,127,1
page6_angle_40.jpg,40,No,126,132,6
page6_angle_40_aug1.jpg,40,Yes,126,130,4
page6_angle_40_aug3.jpg,40,Yes,126,130,4
page7_angle_-40.jpg,40,No,122,109,13
page7_angle_40.jpg,40,No,122,113,9
page7_angle_40_aug3.jpg,40,Yes,122,110,12
page8_angle_-40.jpg,40,No,121,112,9
page8_angle_-40_aug2.jpg,40,Yes,121,117,4
page8_angle_-40_aug3.jpg,40,Yes,121,113,8
page8_angle_40.jpg,40,No,121,114,7
page8_angle_40_aug1.jpg,40,Yes,121,110,11
page8_angle_40_aug2.jpg,40,Yes,121,117,4
page9_angle_-40.jpg,40,No,121,111,10
page9_angle_-40_aug2.jpg,40,Yes,121,113,8
page9_angle_-40_aug3.jpg,40,Yes,121,114,7
page9_angle_40.jpg,40,No,121,111,10
page9_angle_40_aug1.jpg,40,Yes,121,111,10
page9_angle_40_aug2.jpg,40,Yes,121,114,7
page10_angle_-45.jpg,45,No,121,114,7
page10_angle_-45_aug2.jpg,45,Yes,121,113,8
page10_angle_-45_aug3.jpg,45,Yes,121,115,6
page10_angle_45.jpg,45,No,121,117,4
page11_angle_-45.jpg,45,No,124,121,3
page11_angle_-45_aug1.jpg,45,Yes,124,121,3
page11_angle_-45_aug2.jpg,45,Yes,124,120,4
page11_angle_-45_aug3.jpg,45,Yes,124,121,3
page11_angle_45.jpg,45,No,124,118,6
page11_angle_45_aug3.jpg,45,Yes,124,123,1
page1_angle_-45.jpg,45,No,124,129,5
page1_angle_45.jpg,45,No,124,127,3
page1_angle_45_aug1.jpg,45,Yes,124,128,4
page1_angle_45_aug2.jpg,45,Yes,124,131,7
page2_angle_-45.jpg,45,No,124,119,5
page2_angle_-45_aug1.jpg,45,Yes,124,123,1
page2_angle_-45_aug3.jpg,45,Yes,124,122,2
page2_angle_45.jpg,45,No,124,121,3
page2_angle_45_aug1.jpg,45,Yes,124,117,7
page2_angle_45_aug3.jpg,45,Yes,124,124,0
page3_angle_-45.jpg,45,No,126,127,1
page3_angle_-45_aug2.jpg,45,Yes,126,129,3
page3_angle_-45_aug3.jpg,45,Yes,126,129,3
page3_angle_45.jpg,45,No,126,128,2
page3_angle_45_aug3.jpg,45,Yes,126,130,4
page4_angle_-45.jpg,45,No,125,125,0
page4_angle_-45_aug2.jpg,45,Yes,125,135,10
page4_angle_45.jpg,45,No,125,129,4
page4_angle_45_aug1.jpg,45,Yes,125,126,1
page5_angle_-45.jpg,45,No,122,118,4
page5_angle_-45_aug1.jpg,45,Yes,122,124,2
